m gam aeat p isp o/f
2.2315*10 1.1756  0.0000  1.6500*100 0.0000  6.9000 
2.2315*10 1.1784  1.0000  9.3826*10 1.0983  6.9000 
2.2315*10 1.2108  1.0000*10 2.1016  2.7411  6.9000 
2.2315*10 1.2146  1.2500*10 1.5606  2.8073  6.9000 
2.2315*10 1.2178  1.5000*10 1.2253  2.8577  6.9000 
2.2315*10 1.2207  1.7500*10 9.9929*0.1 2.8980  6.9000 
2.2315*10 1.2232  2.0000*10 8.3787*0.1 2.9313  6.9000 
2.2315*10 1.2255  2.2500*10 7.1747*0.1 2.9596  6.9000 
2.2315*10 1.2276  2.5000*10 6.2462*0.1 2.9839  6.9000 
2.2315*10 1.2286  2.6200*10 5.8729*0.1 2.9945  6.9000 
2.2315*10 1.2296  2.7500*10 5.5109*0.1 3.0053  6.9000 
2.2315*10 1.2313  3.0000*10 4.9159*0.1 3.0242  6.9000 
2.2315*10 1.2330  3.2500*10 4.4258*0.1 3.0412  6.9000 
2.2315*10 1.2346  3.5000*10 4.0158*0.1 3.0566  6.9000 
2.2315*10 1.2360  3.7500*10 3.6685*0.1 3.0706  6.9000 
2.2357*10 1.1755  0.0000  1.6500*100 0.0000  7.0000 
2.2357*10 1.1783  1.0000  9.3831*10 1.0966  7.0000 
2.2357*10 1.2106  1.0000*10 2.1026  2.7389  7.0000 
2.2357*10 1.2144  1.2500*10 1.5614  2.8056  7.0000 
2.2357*10 1.2177  1.5000*10 1.2259  2.8564  7.0000 
2.2357*10 1.2205  1.7500*10 9.9984*0.1 2.8970  7.0000 
2.2357*10 1.2230  2.0000*10 8.3835*0.1 2.9306  7.0000 
2.2357*10 1.2253  2.2500*10 7.1790*0.1 2.9590  7.0000 
2.2357*10 1.2274  2.5000*10 6.2500*0.1 2.9836  7.0000 
2.2357*10 1.2284  2.6200*10 5.8766*0.1 2.9943  7.0000 
2.2357*10 1.2293  2.7500*10 5.5144*0.1 3.0051  7.0000 
2.2357*10 1.2311  3.0000*10 4.9191*0.1 3.0242  7.0000 
2.2357*10 1.2328  3.2500*10 4.4287*0.1 3.0414  7.0000 
2.2357*10 1.2343  3.5000*10 4.0185*0.1 3.0569  7.0000 
2.2357*10 1.2358  3.7500*10 3.6710*0.1 3.0710  7.0000 
2.2396*10 1.1754  0.0000  1.6500*100 0.0000  7.1000 
2.2396*10 1.1781  1.0000  9.3835*10 1.0948  7.1000 
2.2396*10 1.2105  1.0000*10 2.1032  2.7355  7.1000 
2.2396*10 1.2143  1.2500*10 1.5619  2.8028  7.1000 
2.2396*10 1.2175  1.5000*10 1.2263  2.8541  7.1000 
2.2396*10 1.2204  1.7500*10 1.0002  2.8950  7.1000 
2.2396*10 1.2229  2.0000*10 8.3868*0.1 2.9289  7.1000 
2.2396*10 1.2252  2.2500*10 7.1819*0.1 2.9576  7.1000 
2.2396*10 1.2273  2.5000*10 6.2526*0.1 2.9823  7.1000 
2.2396*10 1.2282  2.6200*10 5.8791*0.1 2.9931  7.1000 
2.2396*10 1.2292  2.7500*10 5.5168*0.1 3.0041  7.1000 
2.2396*10 1.2310  3.0000*10 4.9213*0.1 3.0233  7.1000 
2.2396*10 1.2326  3.2500*10 4.4307*0.1 3.0406  7.1000 
2.2396*10 1.2342  3.5000*10 4.0204*0.1 3.0563  7.1000 
2.2396*10 1.2357  3.7500*10 3.6727*0.1 3.0705  7.1000 
2.2432*10 1.1753  0.0000  1.6500*100 0.0000  7.2000 
2.2432*10 1.1781  1.0000  9.3838*10 1.0931  7.2000 
2.2432*10 1.2104  1.0000*10 2.1036  2.7306  7.2000 
2.2432*10 1.2142  1.2500*10 1.5622  2.7983  7.2000 
2.2432*10 1.2175  1.5000*10 1.2266  2.8499  7.2000 
2.2432*10 1.2203  1.7500*10 1.0004  2.8913  7.2000 
2.2432*10 1.2229  2.0000*10 8.3887*0.1 2.9255  7.2000 
2.2432*10 1.2251  2.2500*10 7.1836*0.1 2.9544  7.2000 
2.2432*10 1.2272  2.5000*10 6.2541*0.1 2.9795  7.2000 
2.2432*10 1.2282  2.6200*10 5.8805*0.1 2.9904  7.2000 
2.2432*10 1.2292  2.7500*10 5.5181*0.1 3.0014  7.2000 
2.2432*10 1.2309  3.0000*10 4.9225*0.1 3.0209  7.2000 
2.2432*10 1.2326  3.2500*10 4.4318*0.1 3.0384  7.2000 
2.2432*10 1.2341  3.5000*10 4.0214*0.1 3.0542  7.2000 
2.2432*10 1.2356  3.7500*10 3.6737*0.1 3.0686  7.2000 
2.2466*10 1.1752  0.0000  1.6500*100 0.0000  7.3000 
2.2466*10 1.1780  1.0000  9.3840*10 1.0914  7.3000 
2.2466*10 1.2104  1.0000*10 2.1038  2.7259  7.3000 
2.2466*10 1.2142  1.2500*10 1.5624  2.7933  7.3000 
2.2466*10 1.2175  1.5000*10 1.2267  2.8448  7.3000 
2.2466*10 1.2203  1.7500*10 1.0005  2.8860  7.3000 
2.2466*10 1.2229  2.0000*10 8.3893*0.1 2.9201  7.3000 
2.2466*10 1.2251  2.2500*10 7.1841*0.1 2.9490  7.3000 
2.2466*10 1.2272  2.5000*10 6.2546*0.1 2.9739  7.3000 
2.2466*10 1.2282  2.6200*10 5.8809*0.1 2.9848  7.3000 
2.2466*10 1.2292  2.7500*10 5.5185*0.1 2.9959  7.3000 
2.2466*10 1.2309  3.0000*10 4.9228*0.1 3.0153  7.3000 
2.2466*10 1.2326  3.2500*10 4.4321*0.1 3.0328  7.3000 
2.2466*10 1.2341  3.5000*10 4.0217*0.1 3.0486  7.3000 
2.2466*10 1.2356  3.7500*10 3.6739*0.1 3.0629  7.3000 
2.2497*10 1.1752  0.0000  1.6500*100 0.0000  7.4000 
2.2497*10 1.1780  1.0000  9.3841*10 1.0896  7.4000 
2.2497*10 1.2104  1.0000*10 2.1037  2.7211  7.4000 
2.2497*10 1.2143  1.2500*10 1.5623  2.7880  7.4000 
2.2497*10 1.2175  1.5000*10 1.2266  2.8391  7.4000 
2.2497*10 1.2204  1.7500*10 1.0005  2.8800  7.4000 
2.2497*10 1.2229  2.0000*10 8.3888*0.1 2.9139  7.4000 
2.2497*10 1.2252  2.2500*10 7.1836*0.1 2.9425  7.4000 
2.2497*10 1.2273  2.5000*10 6.2542*0.1 2.9673  7.4000 
2.2497*10 1.2282  2.6200*10 5.8805*0.1 2.9781  7.4000 
